Tool,ID,Page,Label,SpatialDist
PyMuPDF,21.tar_1402.4148.gz_arxivversion_black.pdf,40,paragraph,0.3007309432648799
Tika,19.tar_1402.3075.gz_Decoherence_Gilz_2014_black.pdf,11,paragraph,0.3979099678456592
PyMuPDF,19.tar_1402.3075.gz_Decoherence_Gilz_2014_black.pdf,11,paragraph,0.3925701488604927
Tika,14.tar_1402.0460.gz_2D_LMS_postreport_black.pdf,41,paragraph,0.3784570596797671
PyMuPDF,14.tar_1402.0460.gz_2D_LMS_postreport_black.pdf,41,paragraph,0.37586332242820797
Tika,22.tar_1402.4802.gz_SEMANTIC-AMBIGU_V7_black.pdf,11,paragraph,0.3920786436814361
PyMuPDF,22.tar_1402.4802.gz_SEMANTIC-AMBIGU_V7_black.pdf,11,paragraph,0.39221259059258207
Tika,21.tar_1402.4493.gz_pr-revised_black.pdf,29,paragraph,0.3688622754491018
PyMuPDF,21.tar_1402.4493.gz_pr-revised_black.pdf,29,paragraph,0.3618817852834741
Tika,17.tar_1402.1920.gz_paper_black.pdf,0,paragraph,0.34017456947393254
PyMuPDF,17.tar_1402.1920.gz_paper_black.pdf,0,paragraph,0.33496389471232235
Tika,20.tar_1402.3397.gz_A16_black.pdf,5,paragraph,0.3650098202145339
PyMuPDF,20.tar_1402.3397.gz_A16_black.pdf,5,paragraph,0.36456808199121526
Tika,21.tar_1402.4396.gz_AlHeu_black.pdf,8,paragraph,0.4199966278873714
PyMuPDF,21.tar_1402.4396.gz_AlHeu_black.pdf,8,paragraph,0.4166805393707342
Tika,23.tar_1402.5049.gz_boltzmann_black.pdf,5,paragraph,0.345625
PyMuPDF,23.tar_1402.5049.gz_boltzmann_black.pdf,5,paragraph,0.3382991930477964
Tika,22.tar_1402.4539.gz_scfs_arxiv_black.pdf,27,paragraph,0.0008195041999590558
PyMuPDF,22.tar_1402.4539.gz_scfs_arxiv_black.pdf,27,paragraph,0.0008808632459810894
Tika,25.tar_1402.6300.gz_document_black.pdf,3,paragraph,0.36851938346567026
PyMuPDF,25.tar_1402.6300.gz_document_black.pdf,3,paragraph,0.36511250289955927
Tika,20.tar_1402.3331.gz_arxiv_black.pdf,2,paragraph,0.4443321542866768
PyMuPDF,20.tar_1402.3331.gz_arxiv_black.pdf,2,paragraph,0.4427685604156192
Tika,16.tar_1402.1676.gz_Miteva_etal2014_black.pdf,13,paragraph,0.08108108108108113
PyMuPDF,16.tar_1402.1676.gz_Miteva_etal2014_black.pdf,13,paragraph,0.07833827893175069
Tika,18.tar_1402.2322.gz_mmcent2_black.pdf,9,paragraph,0.47304947083435883
PyMuPDF,18.tar_1402.2322.gz_mmcent2_black.pdf,9,paragraph,0.47185511502692123
